ECV;Product;CMOR variable name;Frequency;Resolution;Required Measurement uncertainty;Stability (per decade unless otherwise specified);Standards/References;Entity (Satellite);Entity (in situ)
Surface Wind Speed and direction;Surface wind speed and direction;uas, vas, sfcWind;3 hr;10km/NA;0.5m/s and mean quadratic statistics to 10% of the locally prevailing mean wind speed, for speed >20m/s;0.05m/s/decade;For stability: International Vector Winds Science Team Meeting (M.Bourassa);WGClimate;WIGOS
Precipitation;Estimates of liquid and solid precipitation;pr;Monthly\\(statistics of 3 hr values);25km/NA;0.5 mm/h;0.02mm/decade;CMSAF requirements related to the HOAPS release 4.0 (CM-12611);WGClimate;WIGOS
Temperature (surface);Temperature ;tas, ts;Hourly;Site;0.1K;0.02K/decade;P.Jones;;WIGOS
Temperature (surface);Daily maximum temperature;tasmax;Daily Tx/Tn;Site;0.1K;0.02K/decade;P.Jones;;WIGOS
Temperature (surface);Daily minimum temperature;tasmin;Hourly;Site;0.1K;0.02K/decade;P.Jones;;WIGOS
Water Vapour (surface);Water vapour;rhs;Monthly\n(resolv. diurnal cycle);Site;RH 1%, DP 0.1K;0.5%/decade,\n0.02hPA/decade;Kate Willet;;WIGOS
Surface Radiation Budget;Surface ERB longwave;rlds, rlus, rldscs, rluscs ;Monthly\n(resolv. diurnal cycle);100km/NA;1W/m2\n(global mean) ;0.2W/m2 /decade;;WGClimate;WIGOS
Surface Radiation Budget;Surface ERB shortwave;rsds, rsus, rsdscs, rsuscs;Monthly\n(resolv. diurnal cycle);100km/NA;1W/m2\n(global mean) ;0.2W/m2 /decade;;WGClimate;WIGOS
Earth Radiation Budget;Top-of-atmosphere ERB longwave;rlut;Monthly\n(resolv. diurnal cycle);100km/NA;1W/m2\n(global mean) ;0.2 W/m2/decade;NOAA Tech Rep. NESDIS 134;WGClimate;
Earth Radiation Budget;Top-of-atmosphere ERB shortwave (reflected);rsut, rsdt;1hr;100km/NA;1W/m2\n(global mean) ;0.3W/m2 /decade;NOAA Tech Rep. NESDIS 134;WGClimate;
Wind speed and direction (upper air) ;Upper-air wind retrievals;ua, va ;4hr;10km/0.5km;2m/s, 20deg;0.5m/s, 5deg;;WGClimate;WIGOS
Temperature(upper air);Tropospheric Temperature profile;ta;4hr;25km/1km;0.5K;0.05K;;WGClimate;WIGOS
Temperature(upper air);Stratospheric Temperature profile;ta;Monthly ;100km/2km;0.5K;0.05K;;WGClimate;WIGOS
Temperature(upper air);Temperature of deep atmospheric layers;ta;4hr;100km/5km;0.2K;0.02K;;WGClimate;WIGOS
Water Vapour(upper air);Total column-water vapour;hur;4hr\n(troposphere);25km/NA;2%;0.3%;;WGClimate;
Water Vapour(upper air);Tropospheric profiles of water vapour;hur;daily\n(stratosphere);25km/2km;5%;0.3%;;WGClimate;
Water Vapour(upper air);Lower-stratospheric profiles of water vapour;hur;1hr;100-200km/2km;5%;0.3%;;WGClimate;
Water Vapour(upper air);Upper tropospheric humidity;hur;3hr;25km/NA;5%;0.3%;;WGClimate;
Cloud Properties ;Cloud amount;clt;3hr;50km/NA;0.01-0.05;0.01/decade;ESA CCI CMUG tables (http://www.esa-cmug-cci.org/);WGClimate;
Cloud Properties;Cloud Top Pressure;cct, pctisccp;3hr;50km/NA;15-50hPa;3-15hPa;;WGClimate;
Cloud Properties;Cloud Top Temperature;;3hr;50km/NA;1-5K;0.25K/decade;;WGClimate;
Cloud Properties;Cloud Optical Depth;cod;3hr;50km/NA;10%;2%;;WGClimate;
Cloud Properties;Cloud Water Path (liquid and ice);lwp, ;3hr;50km/NA;25%;5%;;;
Cloud Properties;C, effective particle radius (liquid and ice);reffclwtop;4hr;50km/NA;1um;1um/decade;;;
Aerosols properties;Aerosol optical depth;od550aer;4hr;5-10km/NA/;Max(0.03, 10%);0.02/decade;ESA CCI CMUG tables (http://www.esa-cmug-cci.org/);WGClimate;
Aerosols properties;Single-scattering albedo;albisccp;4hr;5-10km/NA/;0.03;0.01;;;
Aerosols properties;Aerosol-layer height;;weekly;5-10km/NA/;1km;0.5km;;WGClimate;
Aerosols properties;Aerosol-extinction coeff. profile near tropopause;;weekly;200-500 km/ 1km;10%;20%;;WGClimate;
Aerosols properties;Aerosol-extinction coeff. profile mid stratosphere;;4hr;2km;10%;20%;;WGClimate;
Carbon Dioxide, Methane and other Greenhouse gases;Tropospheric CO2 column;xco2;4hr;5-10km/NA;1ppm;1.5ppm/decade;ESA CCI CMUG tables (http://www.esa-cmug-cci.org/);WGClimate;
Carbon Dioxide, Methane and other Greenhouse gases;Tropospheric CO2;vmrco2;4hr;5-10km/5km;1ppm;1.5ppm;;;GAW
Carbon Dioxide, Methane and other Greenhouse gases;Tropospheric CH4 column;xch4;4hr;5-10km/NA;10ppb;7ppb;;WGClimate;
Carbon Dioxide, Methane and other Greenhouse gases;Tropospheric CH4;vmrch4;daily;5-10km/5km;0.5ppb;0.7ppb;;;GAW
Carbon Dioxide, Methane and other Greenhouse gases;Stratospheric CH4;vmrch4;4hr;100-200km/2km;5%;0.3%;;;GAW
Ozone;Total column ozone;toz;4hr;20-50km/NA;Max(2%, 5DU);1%;;WGClimate;
Ozone;Troposphere Ozone;vmro3;4hr;20-50km/5km;10-15%;2%;;WGClimate;GAW
